''<small>biological</small>  gender''  –  '''lo te seksi'''

''<small>method of</small>  vaccination''  –  '''lo ve jinku'''

''<small>in other</small>  words''  –  '''va&apos;i'''

''%''  –  '''ce&apos;i'''

''&#44; (comma)''  –  '''slaka bu'''

''&apos; (letter)''  –  '''y&apos;y'''

''( (bracket)''  –  '''vei'''

'') (bracket)''  –  '''ve&apos;o'''

''+ (addition operator)''  –  '''su&apos;i'''

''. (symbol)''  –  '''denpa bu'''

''/ (division operator)''  –  '''fe&apos;i'''

''0''  –  '''no'''

''1''  –  '''pa'''

''1/10''  –  '''lo decti'''

''1/100''  –  '''lo centi'''

''1/2''  –  '''lo xadba'''

''10''  –  '''dau'''

''10''  –  '''lo dekto'''

''100''  –  '''lo xecto'''

''1000''  –  '''lo kilto'''

''11''  –  '''fei'''

''12''  –  '''gai'''

''13''  –  '''jau'''

''14''  –  '''xei'''

''15''  –  '''vai'''

''2''  –  '''re'''

''2.71828 ... (number)''  –  '''te&apos;o'''

''3''  –  '''ci'''

''3.14159 ... (pi)''  –  '''pai'''

''4''  –  '''vo'''

''5''  –  '''mu'''

''6''  –  '''xa'''

''7''  –  '''ze'''

''8''  –  '''bi'''

''9''  –  '''so'''

''? (yes/no question)''  –  '''xu'''

''A (hex digit)''  –  '''dau'''

''a (letter)''  –  '''a bu'''

''a/an (one)''  –  '''lo, lo pa'''

''abdomen''  –  '''lo betfu'''

''able''  –  '''lo kakne'''

''<small>to be</small> able to''  –  '''kakne'''

''<small>that is</small> about ...''  –  '''pe'''

''<small>to talk</small> about ...''  –  '''tavla fi'''

''<small>which is</small> about ...''  –  '''ne'''

''<small>which is</small> about ...''  –  '''ne'''

''about to ...''  –  '''pu&apos;o'''

''above''  –  '''ga&apos;u'''

''<small>something</small> above''  –  '''lo gapru'''

''<small>what is</small> above''  –  '''lo se cnita'''

''<small>to</small> abrade''  –  '''guska'''

''<small>to</small> abrade''  –  '''sraku'''

''Abrahamic (Judaic, Christian, or Moslem)''  –  '''lo jegvo'''

''abrasive''  –  '''lo guska'''

''abrasive''  –  '''lo sraku'''

''<small>to</small> absorb''  –  '''cokcu'''

''absorbed''  –  '''lo se cokcu'''

''absorber''  –  '''lo cokcu'''

''<small>to</small> accept (to consent)''  –  '''tolpro'''

''<small>to</small> accept (to take)''  –  '''lebna'''

''accident''  –  '''lo snuti'''

''<small>to</small> accompany''  –  '''kansa'''

''account (bill)''  –  '''lo janta'''

''account (description)''  –  '''lo ve skicu'''

''account (explanation)''  –  '''lo ve ciksi'''

''account (history)''  –  '''lo citri'''

''account (registry to a service)''  –  '''lo jaspu'''

''account (registry to a service)''  –  '''lo jaspu'''

''accountable for''  –  '''lo fuzme'''

''acid''  –  '''lo slami'''

''<small>to</small> acquire''  –  '''cpacu'''

''acquired''  –  '''lo se cpacu'''

''across ... (on the opposite side)''  –  '''ze&apos;o'''

''<small>to</small> act''  –  '''zukte'''

''<small>in</small> action''  –  '''lo akti'''

''action taken''  –  '''lo se zukte'''

''active''  –  '''lo akti'''

''active operation''  –  '''lo se akti'''

''actor''  –  '''lo zukte'''

''<small>with an</small> actor ...''  –  '''zu&apos;e'''

''actual (not just apparent or even false)''  –  '''lo fatci'''

''actually ...''  –  '''ca&apos;a'''

''<small>to</small> add''  –  '''jmina'''

''additionally''  –  '''ji&apos;a'''

''address''  –  '''lo judri'''

''address system''  –  '''lo te judri'''

''<small>to</small> adhere to''  –  '''snipa'''

''adjacent''  –  '''lo lamji'''

''adjacent to ...''  –  '''re&apos;o'''

''<small>to</small> adjust''  –  '''stika'''

''adjusted''  –  '''lo se stika'''

''admirable''  –  '''lo zabna'''

''adorned''  –  '''lo se jadni'''

''<small>piece of</small> advice''  –  '''lo se stidi'''

''advisor''  –  '''lo stidi'''

''affair''  –  '''lo cuntu'''

''affix''  –  '''lo rafsi'''

''<small>word with</small> affixes''  –  '''lo se rafsi'''

''afraid of''  –  '''lo terpa'''

''Africa''  –  '''la afrik'''

''African''  –  '''lo friko'''

''after ... (in time)''  –  '''ba'''

''<small>in the</small> aftermath''  –  '''ba&apos;o'''

''again''  –  '''za&apos;u re&apos;u'''

''age''  –  '''lo se renvi'''

''aged''  –  '''lo laldo'''

''agent''  –  '''lo gasnu'''

''<small>with active</small> agent ...''  –  '''gau'''

''aggregate''  –  '''lo gunma'''

''ago''  –  '''za'''

''<small>long</small> ago''  –  '''zu'''

''<small>to</small> agree with''  –  '''tugni'''

''aha! (discovery)''  –  '''ua'''

''ahem!''  –  '''ju&apos;i'''

''ahoy! (greeting in a piratic manner)''  –  '''a&apos;oi'''

''ailment treated''  –  '''lo te mikce'''

''ain&apos;t''  –  '''xu nai'''

''ain&apos;t?''  –  '''xu nai'''

''air''  –  '''lo vacri'''

''aircraft''  –  '''lo vinji'''

''airplane''  –  '''lo vinji'''

''alarmist''  –  '''lo xalni'''

''alas! (unhappiness)''  –  '''ui nai'''

''alcohol''  –  '''lo xalka'''

''<small>strong</small> alcoholic drink''  –  '''lo jikru'''

''ale''  –  '''lo birje'''

''Alice''  –  '''la alis'''

''alien''  –  '''lo fange'''

''alive''  –  '''lo jmive'''

''alkali''  –  '''lo jilka'''

''alkali metal''  –  '''lo sodna'''

''all''  –  '''ro'''

''all but ...''  –  '''da&apos;a'''

''all except ...''  –  '''da&apos;a'''

''alley''  –  '''lo klaji'''

''allow''  –  '''e&apos;a'''

''<small>to</small> allow''  –  '''permite'''

''<small>what is</small> allowed''  –  '''lo te permite'''

''almost (about to be)''  –  '''so&apos;a va&apos;e'''

''almost all''  –  '''so&apos;a'''

''alone''  –  '''ka&apos;ai no drata'''

''alone''  –  '''lo sepli'''

''alone (without help)''  –  '''si&apos;u nai'''

''along a line''  –  '''vi&apos;i'''

''along with ...''  –  '''ce'''

''along with ...''  –  '''jo&apos;u'''

''alongside ...''  –  '''zo&apos;a'''

''alphabet''  –  '''lo se lerfu'''

''alphabetic symbol''  –  '''lo lerfu'''

''already''  –  '''ca&apos;o'''

''already''  –  '''pu&apos;i'''

''already''  –  '''xa&apos;o'''

''also''  –  '''ji&apos;a'''

''although''  –  '''ku&apos;i'''

''always''  –  '''ro roi'''

''America''  –  '''la amerik'''

''American (of the United States)''  –  '''lo merko'''

''<small>to be</small> among (between)''  –  '''jbini'''

''<small>to be</small> among''  –  '''me'''

''among others''  –  '''po&apos;o nai'''

''amount''  –  '''lo se klani'''

''amphibian''  –  '''lo banfi'''

''amused''  –  '''lo se zdile'''

''amusing''  –  '''lo zdile'''

''<small>something</small> analysed''  –  '''lo se lanli'''

''analyst''  –  '''lo lanli'''

''<small>to</small> analyze''  –  '''lanli'''

''ancestor''  –  '''lo dzena'''

''and''  –  '''e'''

''and''  –  '''ge'''

''and''  –  '''gi&apos;e'''

''and''  –  '''gu&apos;e'''

''and''  –  '''je'''

''and''  –  '''zi&apos;e'''

''and also ...''  –  '''ce'''

''and not''  –  '''gi&apos;e nai'''

