a,"
'''a''' <small>[conjunction for nouns]</small> — ''and/or''
:'''ei mi tavla la Alis a la Kevin''' — ''I need to speak to Alice or Kevin (or to both of them).''
:Related words: '''ja''', '''a''', '''e''', '''ji''', '''o''', '''u'''"
a bu,"
'''a bu''' <small>[pronoun]</small> — ''a'' (letter)"
a'a,"
'''a'a''' <small>[interjection]</small> — attention, '''a'a''' '''cu'i''' — inattentiveness, '''a'a''' '''nai''' — avoiding
:'''a'a ko ca'o skicu''' — ''I'm listening, go on talking!''
:'''a'a cu'i ko denpa lo nu mi jai gau mulno fai ti''' — ''Eh, just a second, let me finish this.''
:'''a'a nai mi na tirna''' — ''La, la, la, I'm not listening.''
:Related words: '''jundi''', '''rivbi'''"
a'e,"
'''a'e''' <small>[interjection]</small> — alertness, '''a'e''' '''nai''' — exhaustion
:'''a'e ba vlile tcima''' — ''It's going to be a storm.''
:'''a'e nai mi ba klama lo ckana''' — ''Yaaaawn, I'm going to bed.''
:Related words: '''sanji''', '''cikna''', '''tatpi'''"
a'i,"
'''a'i''' <small>[interjection]</small> — ''Oomph!'' (effort, endeavor), '''a'i''' '''cu'i''' — no special effort, '''a'i''' '''nai''' — repose
:'''a'i mi ca'o ralte''' — ''I'm trying to hold it!''
:'''a'i cu'i ti frili''' — ''Ah, this is easy.''
:'''a'i nai cikre ta''' — ''Nah, why bother fixing it.''
:Related words: '''snada''', '''fliba''', '''gunka''', '''nandu''', '''troci'''"
a'o,"
'''a'o''' <small>[interjection]</small> — hope, '''a'o''' '''nai''' — ''Gah!'' (despair)
:'''a'o vamji fa lo nu zukte''' — ''I hope, it's worth doing it.''
:'''a'o nai mi co'u ponse da''' — ''Gah, I lost all my property.''
:Related words: '''pacna'''"
a'oi,"
'''a'oi''' <small>[vocative]</small> — ''Ahoy!'' (greeting in a piratic manner)
:'''a'oi la Kevin ma nuzba''' — ''Ahoy, Kevin! What's up?''
:Related words: '''coi''', '''co'oi'''"
a'u,"
'''a'u''' <small>[interjection]</small> — ''Hmm... I wonder ...'' (interest), '''a'u''' '''cu'i''' — ''Ho-hum'' (disinterest), '''a'u''' '''nai''' — ''Eww! Yuck!'' (repulsion)
:'''a'u ro jbopre cu stati prenu''' — ''Interesting, all Lojbanists are smart people.''
:'''a'u ma krinu''' — ''Hm, what is the reason?''
:'''a'u cu'i do ne ka'ai lo nanla cu se zdani''' — ''It's none of my business that you live with a boy.''
:'''a'u nai do co'a speni lo fange''' — ''You married a stranger, it's none of my business, I'd avoid this topic.''
:'''a'u nai iu nai panci fa lo kalci i ai nai mi citka ti''' — ''Yuck, that smells like shit! I'm not going to eat this.''
:Related words: '''lo''' '''se''' '''cinri'''"
aftobuso,"
'''aftobuso''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a bus, coach carrying  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo aftobuso''' — bus, coach. 
:'''ma se stuzi lo tcana pe lo aftobuso pe li mu''' — ''Where is the stop of bus number 5?''
:'''lo aftobuso pe li xo cu klama lo muzga''' — ''What's the number of the bus that goes to the museum?''
:'''lo aftobuso be lo litru cu clani''' — ''Tourists' bus is long.''
:Related words: '''karce''', '''taksi''', '''trene''', '''marce''', '''tcadu'''"
ai,"
'''ai''' <small>[interjection]</small> — ''I'm gonna ...'' (intent), '''ai''' '''cu'i''' — indecision, '''ai''' '''nai''' — unintentionally, accidentally
:'''ai mi vitke do''' — ''I'm going to visit you.''
:'''a'i cu'i mi klama lo zarci''' — ''I'm indecisive to whether I should go to a shop.''
:'''ai nai mi pu darxi do''' — ''I didn't mean to hit you.''
:Related words: '''te''' '''mukti''', '''zukte''', '''cuxna'''"
aidji,"
'''aidji''' — ''x<sub>1</sub><sub>(entity)</sub>''  intends to do  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo se aidji''' — intended action. 
:'''mi aidji lo ka klama la Nipon''' — ''I am going to go to Japan.''
:Related words: '''lo''' '''te''' '''mukti'''"
akti,"
'''akti''' — ''x<sub>1</sub><sub>(entity)</sub>''  is running service  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo akti''' — active, in action, working, in operation. '''lo se akti''' — active operation. 
:'''gau ko ta to'e akti''' — ''Turn that off.''
:'''gau ko ta akti''' — ''Turn it on.''
:'''mi jai gau ba akti fai le minji''' — ''I will get the machine running.''
:'''le zarci ca akti''' — ''The shop is open.''
:'''le minji ca akti lo ka cupra lo purmo''' — ''The machine is now in operation producing flour.''
:Related words: '''zukcfu''', '''spofu'''"
anka,"
'''anka''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a thigh, hip of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''le verba pu jai gau spofu lo anka be lo no'a''' — ''The child broke his thigh.''
:Related words: '''tornozelo'''"
ankabuta,"
'''ankabuta''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a spider of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo ankabuta''' — spider. 
:'''xu do terpa tu'a lo ankabuta''' — ''Are you afraid of spiders?''
:Related words: '''insekto''', '''cinki''', '''danlu'''"
arte,"
'''arte''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a piece of artwork
:'''lo arte''' — piece of artwork. 
:'''lo vi arte pu jai rinka so'i nu darlu''' — ''There've been a lot of debates caused by this artwork.''
:Related words: '''larcu''', '''finti''', '''pixra'''"
arxokuna,"
'''arxokuna''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a raccoon of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo arxokuna''' — raccoon. 
:'''pa arxokuna cu zvati lo mi jukpa kumfa''' — ''There's a raccoon in my kitchen.''
:Related words: '''danlu''', '''mabru'''"
asna,"
'''asna''' — ''x<sub>1</sub><sub>(property of x2)</sub>''  is a posture, stance, asana of body  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo asna''' — posture (of body), body position, stance (of body), asana. 
:'''ra co'a se asna lo ckape ne'a le barda fenra''' — ''He took a dangerous pose near the abyss.''
:Related words: '''morna'''"
au,"
'''au''' <small>[interjection]</small> — ''Wish ...'' (desire), '''au''' '''cu'i''' — ''meh'' (indifference), '''au''' '''nai''' — ''Nuh-uh!'' (disinclination, reluctance)
:'''au e'o tcati''' — ''I'd like some tea, please.''
:'''au cu'i do jai gau bredi fai lo cidja''' — ''You prepare the food or not ... I don't have any preferences.''
:'''au nai do cliva''' — ''I don't want you to leave.''
:'''au mi stali bu'u lo zdani gi'enai kansa le nakni''' — ''I'd rather stay at home than come with him.''
:Related words: '''djica'''"
